STREET,LOCALITY,RECD_DATE,COMP_DATE,EASTING,NORTHING
LAVENDER WALK,RICHMOND HILL,18/2/2021 00:00:00,,431555,433312
SHEPHERDS PLACE,CHAPELTOWN,18/2/2021 00:00:00,,431560.27,435722.48
ARGYLL CLOSE,HORSFORTH,17/2/2021 00:00:00,,423727.87,439655.53
KIRKSTALL LANE,KIRKSTALL,17/2/2021 00:00:00,,426421.13,435623.3
HODGSON LANE,DRIGHLINGTON,17/2/2021 00:00:00,,421988.11,428318.99
PENFIELD ROAD,DRIGHLINGTON,17/2/2021 00:00:00,,422757.57,428571.89
PARK STREET,CHURWELL,17/2/2021 00:00:00,,427198.58,429517.2
BIRCH STREET,MORLEY,17/2/2021 00:00:00,,426720.27,426805.42
THE AVENUE,LIDGETT PARK,17/2/2021 00:00:00,,432202.88,437905.22
SYCAMORE AVENUE,HALTON,17/2/2021 00:00:00,,435348.88,433902.34
CAVE LANE,EAST ARDSLEY,17/2/2021 00:00:00,,431213.21,425350.32
THE SYCAMORES,BRAMHOPE,17/2/2021 00:00:00,,426073,442457
INGRAM ROAD DISTRIBUTOR,HOLBECK,17/2/2021 00:00:00,,428509.78,431553.16
ELLAND ROAD,BEESTON,17/2/2021 00:00:00,,428058.23,431114.88
CROW NEST LANE,BEESTON,17/2/2021 00:00:00,,428131.29,430661.61
RED HALL COURT,WHINMOOR,17/2/2021 00:00:00,,435386.13,438224.09
WHINMOOR GARDENS,WHINMOOR,17/2/2021 00:00:00,,435128,438383
DIBB LANE,YEADON,17/2/2021 00:00:00,,419759.89,441217.92
MILNERS ROAD,YEADON,17/2/2021 00:00:00,,419661.73,441170.29
MILNERS ROAD,YEADON,17/2/2021 00:00:00,,419638.18,441136.43
CROFTON RISE,SHADWELL,17/2/2021 00:00:00,,435117.85,439690.6
GELDERD ROAD,WORTLEY,17/2/2021 00:00:00,,425145.83,428999.65
MALVERN ROAD,BEESTON,17/2/2021 00:00:00,,429347.15,431617.33
SOUTHLEIGH ROAD,BEESTON,17/2/2021 00:00:00,,429376.79,429679.3
FAIRFIELD CRESCENT,BRAMLEY,17/2/2021 00:00:00,,424001.21,434637.57
CANAL STREET,ARMLEY,17/2/2021 00:00:00,,428685.8,433177.25
STANNINGLEY ROAD,LEEDS,17/2/2021 00:00:00,18/2/2021 00:00:00,425789.06,434181.5
MOSELEY WOOD GARDENS,COOKRIDGE,17/2/2021 00:00:00,,424606.84,440340.17
HALLIDAY MOUNT,ARMLEY,17/2/2021 00:00:00,,426381.28,433860.51
KINGSMEAD DRIVE,WHINMOOR,17/2/2021 00:00:00,,434941.79,438011.94
KINGSMEAD DRIVE,WHINMOOR,17/2/2021 00:00:00,,434932.54,438015.42
KINGSMEAD DRIVE,WHINMOOR,17/2/2021 00:00:00,,434868,438030
PUDSEY ROAD,BRAMLEY,17/2/2021 00:00:00,,425063.7,433366.95
TONG ROAD,FARNLEY,17/2/2021 00:00:00,,424119.38,432051.36
TONG ROAD,FARNLEY,17/2/2021 00:00:00,,423982.81,431749.19
BEECH WALK,GIPTON,17/2/2021 00:00:00,,433585.46,435057.27
COLDCOTES CIRCUS,GIPTON,17/2/2021 00:00:00,,433364.69,434935.03
EAST STREET,LEEDS,17/2/2021 00:00:00,,431102,433050
TAYLOR LANE,SCHOLES,17/2/2021 00:00:00,,439036.11,436196.58
SCOTLAND LANE,HORSFORTH,17/2/2021 00:00:00,,423755.99,439789.98
ST WILFRIDS AVENUE,HAREHILLS,17/2/2021 00:00:00,,432752.55,435241.07
BANSTEAD STREET EAST,HAREHILLS,17/2/2021 00:00:00,,431838.93,435378.08
NEW ROAD,YEADON,17/2/2021 00:00:00,,419736.34,441438.58
POOLE CRESCENT,CROSS GATES,17/2/2021 00:00:00,,435613.03,434543.56
STONEGATE ROAD,MEANWOOD,17/2/2021 00:00:00,,430393.42,438915.06
BRANCH ROAD,GILDERSOME,17/2/2021 00:00:00,,425156.84,428998.01
ASQUITH AVENUE,MORLEY,17/2/2021 00:00:00,,425155.4,428996.08
LEEDS ROAD,KIPPAX,17/2/2021 00:00:00,,441522.69,430733.34
WATERGATE,METHLEY,17/2/2021 00:00:00,,439469.38,426180.25
HARLEY GARDENS,SWINNOW,17/2/2021 00:00:00,,423162.27,433570.1
TEMPLE AVENUE,HALTON,17/2/2021 00:00:00,,435130.5,432795.01
SILK MILL ROAD,COOKRIDGE,16/2/2021 00:00:00,,424844,438863
MARSTON WAY,WETHERBY,16/2/2021 00:00:00,,439263.28,448728.26
RADCLIFFE LANE,PUDSEY,16/2/2021 00:00:00,17/2/2021 00:00:00,422436.29,432860.5
RADCLIFFE LANE,PUDSEY,16/2/2021 00:00:00,17/2/2021 00:00:00,422318.71,432958.2
MORRIS LANE,KIRKSTALL,16/2/2021 00:00:00,18/2/2021 00:00:00,426173.16,436191.8
LEEDS ROAD,METHLEY,16/2/2021 00:00:00,,438893.4,426863.43
OUTWOOD LANE,HORSFORTH,16/2/2021 00:00:00,,424489.94,437316.37
TAYLOR LANE,SCHOLES,16/2/2021 00:00:00,,438984.89,436472.11
YORK STREET,LEEDS,16/2/2021 00:00:00,17/2/2021 00:00:00,430857.11,433474.02
ASH HILL LANE,SHADWELL,16/2/2021 00:00:00,,434868.58,439725.74
TONG ROAD,FARNLEY,16/2/2021 00:00:00,17/2/2021 00:00:00,425241.08,432963.27
TROYDALE LANE,PUDSEY,16/2/2021 00:00:00,17/2/2021 00:00:00,424056.01,431834.68
KINGSMEAD DRIVE,WHINMOOR,16/2/2021 00:00:00,,434918.06,438023.11
KINGSMEAD DRIVE,WHINMOOR,16/2/2021 00:00:00,,434920.71,438021.01
WHINMOOR COURT,WHINMOOR,16/2/2021 00:00:00,,435042.76,438196.56
VIADUCT ROAD,BURLEY,16/2/2021 00:00:00,,428028.64,434269.95
ECCUP LANE,ECCUP,16/2/2021 00:00:00,,429202.96,443879.04
ECCUP LANE,ECCUP,16/2/2021 00:00:00,,427637.71,440984.45
KNOWSTHORPE ROAD,CROSS GREEN,16/2/2021 00:00:00,,433011.9,432187.65
M1 JUNCTION 44 TO JUNCTION 45,LEEDS,16/2/2021 00:00:00,,433613.81,429711
HOBBERLEY LANE,SHADWELL,16/2/2021 00:00:00,,435022.65,438784.68
LEEDS ROAD,BARWICK IN ELMET,16/2/2021 00:00:00,,439792.39,436990.07
HEADINGLEY MOUNT,HEADINGLEY,16/2/2021 00:00:00,17/2/2021 00:00:00,427516.39,435878.41
MILNERS ROAD,YEADON,16/2/2021 00:00:00,,419652.22,441153.13
MILNERS ROAD,YEADON,16/2/2021 00:00:00,,419629.38,441121.24
MILNERS ROAD,YEADON,16/2/2021 00:00:00,,419655.38,441163.06
MILNERS ROAD,YEADON,16/2/2021 00:00:00,,419632.12,441133.12
QUEENSWAY,YEADON,16/2/2021 00:00:00,,419687.9,442109.89
DEWSBURY ROAD,HUNSLET,16/2/2021 00:00:00,17/2/2021 00:00:00,430288.44,432116.7
WHITEHALL ROAD,LOWER WORTLEY,16/2/2021 00:00:00,17/2/2021 00:00:00,425253.26,431163.04
STONEBRIDGE LANE,FARNLEY,16/2/2021 00:00:00,,425483.49,432848.2
LOTHERTON WAY,GARFORTH,16/2/2021 00:00:00,,440917.76,433654.11
JACK LANE,HUNSLET,16/2/2021 00:00:00,18/2/2021 00:00:00,430256,432118
KNOWSTHORPE GATE,CROSS GREEN,16/2/2021 00:00:00,,432975.09,432213.38
WELLINGTON BRIDGE STREET,LEEDS,16/2/2021 00:00:00,17/2/2021 00:00:00,428959.22,433436.01
CRAB LANE,ARMLEY,16/2/2021 00:00:00,17/2/2021 00:00:00,427249.31,433534.33
PARK LANE,ROUNDHAY,16/2/2021 00:00:00,,433055.42,439078.1
PARK WEST,ROTHWELL,16/2/2021 00:00:00,,434511,428269
BRITANNIA ROAD,MORLEY,16/2/2021 00:00:00,17/2/2021 00:00:00,426535.92,426721.75
HARLEY TERRACE,SWINNOW,16/2/2021 00:00:00,,423526.59,433814.77
GILDERSOME SPUR,MORLEY,16/2/2021 00:00:00,17/2/2021 00:00:00,424551.61,428268.29
WOODHOUSE LANE,WOODHOUSE,16/2/2021 00:00:00,17/2/2021 00:00:00,429296.09,435052.88
HALL PARK AVENUE,HORSFORTH,15/2/2021 00:00:00,,423620.26,438049.03
WESTBROOK LANE,HORSFORTH,15/2/2021 00:00:00,,423717.89,438814
COWPER ROAD,HAREHILLS,15/2/2021 00:00:00,,432293.84,434899.67
ELLERS ROAD,CHAPELTOWN,15/2/2021 00:00:00,,431662.82,435839.36
HYDE PARK ROAD,HYDE PARK,15/2/2021 00:00:00,17/2/2021 00:00:00,428952.52,435469.99
MOORLAND DRIVE,MOORTOWN,15/2/2021 00:00:00,,430651.23,438420.09
BROOKLANDS AVENUE,SEACROFT,15/2/2021 00:00:00,,434444.29,435610.18
BROOKLANDS AVENUE,SEACROFT,15/2/2021 00:00:00,,434444.29,435610.18
KIRKSTALL LANE,KIRKSTALL,15/2/2021 00:00:00,,427513.15,435877.79
EAST BUSK LANE,OTLEY,15/2/2021 00:00:00,,421640.58,445312.05
AIRE ROAD,WETHERBY,15/2/2021 00:00:00,,440114.42,449659.06
HENCONNER LANE,BRAMLEY,15/2/2021 00:00:00,16/2/2021 00:00:00,425064.07,433368.23
BIRKDALE DRIVE,ALWOODLEY,15/2/2021 00:00:00,,429577.39,439687.13
BUCKSTONE CRESCENT,MOORTOWN,15/2/2021 00:00:00,,429171.38,439680.57
CROSS GREEN APPROACH,CROSS GREEN,15/2/2021 00:00:00,,432027.68,432077.76
LOTHERTON WAY,GARFORTH,15/2/2021 00:00:00,,440916.17,433778.96
M1 JUNCTION 43 TO JUNCTION 44,LEEDS,15/2/2021 00:00:00,16/2/2021 00:00:00,433615.45,429699.98
